Character
Han Solo
(Queen) Leia
Leia Organa
Luke Skywalker
Luke
Rey (Kira)
Finn
Kylo Ren
Poe Dameron
Chewbacca
Chewie
C-3PO
General (Gleeson)
Uber (Serkis)
R2-D2
BB-8
Stormtroopers
Stormtrooper
Jedi
Jakku
Kelvin
Teedo
Hux
Corellian
Harris
Ponemah
Ileenium
Ducain
Kessel
Rathtars
Rathtar
Bala
Tik
Sith
Trillia
Prana
Nantoon
Kanjiklub
Mr.
Maz Kanata
Vader
Darth Vader
Phasma
Irving
Unkar
Plutt
Goazon
Snoke
Jedi
